,IDStations,Latitude,Longitude,Time,Altitude,AQ_pm10,AQ_pm25,AQ_nox,AQ_no2,WE_temp_2m,WE_wind_speed_10m_mean,WE_wind_speed_10m_max,WE_mode_wind_direction_10m,WE_tot_precipitation,WE_precipitation_t,WE_surface_pressure,WE_solar_radiation,WE_rh_min,WE_rh_mean,WE_rh_max,WE_wind_speed_100m_mean,WE_wind_speed_100m_max,WE_mode_wind_direction_100m,WE_blh_layer_max,WE_blh_layer_min,EM_nh3_livestock_mm,EM_nh3_agr_soils,EM_nh3_agr_waste_burn,EM_nh3_sum,EM_nox_traffic,EM_nox_sum,EM_so2_sum,LI_pigs,LI_bovine,LA_hvi,LA_lvi,LA_land_use,log_pm25,Week
1806,STA.IT1771A,44.65061,10.90633,2019-09-27,34,20.428571428571427,9.0,31.75,20.391428571428573,18.53,1.2782714285714287,3.582,NW,0.2844193,0,99924.28571428572,10943428.57142857,83.23,93.77428571428572,99.54,2.742714285714285,7.246,NW,1692.0,18.79,8.332285714285714,0.3002714285714286,0.1589857142857142,70.35000000000001,2.780857142857143,57.771,11.13,127.35714285714288,30.7,1.793,2.375285714285714,141,2.302585092994046,39
1807,STA.IT1771A,44.65061,10.90633,2019-10-04,34,29.0,17.571428571428573,39.23285714285714,20.012857142857143,15.05,1.3398428571428571,3.513,E,0.3990481,0,100091.42857142857,9991428.57142857,83.26,93.49857142857142,98.97,2.632428571428572,7.229,E,1194.0,17.53,8.021857142857142,0.5201,0.1681714285714285,70.28999999999999,2.754714285714285,59.785,11.49,126.4857142857143,30.69,1.7579999999999998,2.346285714285714,141,2.921624301400269,40
1808,STA.IT1771A,44.65061,10.90633,2019-10-11,34,51.57142857142857,28.428571428571427,40.70714285714286,19.435714285714287,16.077142857142857,1.2436142857142856,3.504,NW,0.0131479599999999,0,100654.28571428572,8644714.285714285,85.11,94.96142857142856,99.7,2.1722857142857146,6.381,W,1202.0,11.97,7.670857142857143,0.9542714285714284,0.1736714285714285,71.34,2.74,61.958,11.859,125.62857142857142,30.680000000000003,1.724142857142857,2.318142857142857,141,3.381966019734268,41
1809,STA.IT1771A,44.65061,10.90633,2019-10-18,34,40.0,21.714285714285715,32.08142857142857,17.818857142857144,17.28,1.4868571428571429,3.56,E,0.1329156,0,100485.71428571428,7529571.428571428,86.9,95.72285714285714,99.96,3.2422857142857144,6.782,E,1291.0,19.45,7.307,1.457857142857143,0.1753571428571428,72.86,2.732857142857143,64.77199999999999,12.328,124.77142857142856,30.67142857142857,1.7037142857142855,2.299571428571429,141,3.122994053164918,42
1810,STA.IT1771A,44.65061,10.90633,2019-10-25,34,44.285714285714285,25.0,38.184285714285714,19.44,14.705714285714285,1.3867142857142856,2.625,SE,0.222739,1,100628.57142857143,5762142.857142857,87.94,96.5542857142857,99.75,2.6517142857142857,6.409,SE,940.7,17.49,6.962000000000001,1.877857142857143,0.1728285714285714,74.18,2.729285714285715,68.77,12.997,123.97142857142858,30.65714285714285,1.6862857142857144,2.283857142857144,141,3.258096538021482,43
1811,STA.IT1771A,44.65061,10.90633,2019-11-01,34,19.857142857142858,11.285714285714286,29.02857142857143,18.882857142857144,12.260714285714286,1.4484285714285714,2.744,E,0.185911,1,99034.28571428572,5043857.142857143,87.15,95.97,99.68,3.1338571428571425,6.793,E,1200.0,28.23,6.663714285714285,2.092428571428571,0.1651428571428571,74.78999999999999,2.725571428571428,74.76,14.010000000000002,123.2,30.645714285714284,1.6687142857142856,2.268142857142857,141,2.5084371471981943,44
1812,STA.IT1771A,44.65061,10.90633,2019-11-08,34,22.0,14.0,43.80857142857143,22.58,9.30042857142857,1.4656428571428572,3.55,E,0.708653,1,99288.57142857143,4490300.0,85.6,96.46857142857142,99.56,3.2724285714285712,8.018,E,1094.0,15.37,6.412857142857143,2.159428571428572,0.1502285714285714,75.16000000000001,2.7224285714285714,83.83,15.538,122.5,30.63428571428572,1.6514285714285712,2.2522857142857147,141,2.70805020110221,45
1813,STA.IT1771A,44.65061,10.90633,2019-11-15,34,21.0,13.428571428571429,37.46428571428572,23.76714285714285,9.094285714285713,1.685142857142857,4.38,E,1.4132699999999998,1,99640.0,3500200.0,91.52,97.65285714285714,99.58,3.563714285714286,10.61,E,960.0,33.1,6.183714285714286,2.124571428571429,0.1309571428571428,75.15,2.716285714285714,94.19,17.28,121.82857142857144,30.624285714285715,1.6365714285714286,2.238714285714285,141,2.6692103677859462,46
1814,STA.IT1771A,44.65061,10.90633,2019-11-22,34,24.571428571428573,12.714285714285714,48.87028571428572,19.822142857142858,11.126571428571427,2.0238,4.866,E,0.3023136,1,99405.71428571428,4013000.0,91.66,97.48571428571428,99.89,4.369428571428572,9.942,W,947.9,16.91,5.949857142857143,2.0012857142857143,0.1115428571428571,74.38,2.7021428571428574,103.23,18.82,121.25714285714288,30.61,1.6247142857142858,2.228285714285714,141,2.618438042412523,47
1815,STA.IT1771A,44.65061,10.90633,2019-11-29,34,36.285714285714285,23.142857142857142,64.14142857142858,24.98142857142857,6.879428571428571,1.3160142857142858,3.032,E,0.10524734,1,100638.57142857143,4587857.142857143,89.77,96.32714285714285,99.65,2.9872857142857145,7.029,E,935.6,22.13,5.680571428571429,1.7935714285714288,0.0961471428571428,72.31,2.6700000000000004,108.37,19.748,120.75714285714288,30.595714285714287,1.613,2.2172857142857145,141,3.18398856586776,48
1816,STA.IT1771A,44.65061,10.90633,2019-12-06,34,53.71428571428572,35.57142857142857,99.29285714285712,30.01714285714285,5.417571428571428,1.0695571428571429,2.376,W,0.13056696,1,100262.85714285714,3832714.285714286,85.88,96.4785714285714,99.91,2.085142857142857,5.993,W,507.1,16.7,5.330999999999999,1.417857142857143,0.0851699999999999,67.749,2.5604285714285715,108.64,19.91,120.32857142857144,30.58428571428571,1.6012857142857144,2.2067142857142854,141,3.5992672954242493,49
1817,STA.IT1771A,44.65061,10.90633,2019-12-13,34,49.71428571428572,36.71428571428572,103.90142857142858,28.964285714285715,6.994714285714286,1.2460142857142855,5.011,NE,0.0720199,1,99975.71428571428,2756000.0,87.78,97.06428571428572,99.81,2.8264285714285715,10.94,NW,579.2,15.7,4.937285714285714,0.9133857142857142,0.0764014285714285,61.40099999999999,2.3765714285714283,105.77,19.586,120.04285714285712,30.57285714285714,1.5918571428571426,2.198428571428572,141,3.630038954091003,50
